,origin,destination,date,interarrival,arrival
0,164865928,3411617079,2020-05-25 00:12:25,0.207074018991216,0.207074018991216
1,164865928,5172828020,2020-05-25 00:41:45,0.488946224488186,0.696020243479403
2,164865928,3411546312,2020-05-25 00:41:45,4.3893905507e-05,0.69606413738491
3,164865928,5172832266,2020-05-25 00:50:03,0.138155080779626,0.834219218164536
4,3603432684,164707478,2020-05-25 00:53:42,0.060904889199048,0.895124107363584
5,1165289505,6896264214,2020-05-25 00:55:56,0.037179235830119,0.932303343193702
6,7329106668,3560961784,2020-05-25 01:00:56,0.083261960278622,1.015565303472324
7,1656402202,3560960920,2020-05-25 01:14:15,0.222149707278613,1.237715010750937
8,164865928,4626126934,2020-05-25 01:30:09,0.264840478192769,1.502555488943706
9,6124634404,2316985097,2020-05-25 01:54:29,0.405529421579981,1.908084910523687
10,165202937,7278828067,2020-05-25 02:08:35,0.235120741132354,2.143205651656041
11,6647623167,164785512,2020-05-25 02:35:35,0.449906142349934,2.593111794005975
12,164865928,6891345121,2020-05-25 02:40:55,0.089027011190931,2.682138805196906
13,3516418897,5146778999,2020-05-25 03:16:34,0.594199007261988,3.276337812458894
14,164865928,164610856,2020-05-25 03:16:56,0.005957631165866,3.28229544362476
15,1165289505,3453185740,2020-05-25 03:31:13,0.238154069595875,3.520449513220635
16,165202937,2089473662,2020-05-25 05:10:26,1.653478585284321,5.173928098504956
17,165202937,164868649,2020-05-25 05:15:28,0.084104384148869,5.258032482653825
18,164865928,3411546301,2020-05-25 05:16:24,0.015553303159522,5.273585785813347
19,165217196,164953850,2020-05-25 05:17:46,0.02269905871905,5.296284844532398
20,165202937,7155345221,2020-05-25 05:27:43,0.165859734834004,5.462144579366401
21,165202937,7222081127,2020-05-25 05:49:00,0.354739168848925,5.816883748215326
22,164705573,164707470,2020-05-25 05:51:19,0.038662852296517,5.855546600511843
23,165202937,164689652,2020-05-25 05:58:36,0.121189786626317,5.97673638713816
24,165202937,3561604256,2020-05-25 06:07:28,0.147765309011834,6.124501696149995
25,165202937,164931487,2020-05-25 06:16:29,0.150258988287308,6.274760684437303
26,6274183136,6335187875,2020-05-25 06:16:50,0.005935385408296,6.280696069845598
27,3561605939,3029784490,2020-05-25 06:17:00,0.002660378061159,6.283356447906757
28,4602702228,165024217,2020-05-25 06:17:44,0.01242946785645,6.295785915763208
29,6895669606,165202937,2020-05-25 06:26:10,0.140565661803938,6.436351577567146
30,7123196826,7059398932,2020-05-25 06:26:35,0.006913434677151,6.443265012244297
31,165202937,1856483734,2020-05-25 06:28:47,0.036504594926488,6.479769607170786
32,164702016,6848087109,2020-05-25 06:41:28,0.211523266523233,6.691292873694019
33,165202937,165052903,2020-05-25 06:44:31,0.050871756482975,6.742164630176994
34,165094772,164893688,2020-05-25 07:48:12,1.061210198289,7.803374828465994
35,164865928,6356537687,2020-05-25 07:49:05,0.01471336237919,7.818088190845184
36,164865928,6105137861,2020-05-25 07:51:47,0.045020758054049,7.863108948899233
37,164865928,3561604282,2020-05-25 07:55:58,0.069844564264129,7.932953513163362
38,165202937,164643765,2020-05-25 07:56:01,0.000716382314913,7.933669895478275
39,165068240,3411546312,2020-05-25 07:59:14,0.053827786815026,7.9874976822933
40,165202937,3516418936,2020-05-25 08:07:03,0.130021318045197,8.117519000338497
41,164865928,164707480,2020-05-25 08:09:22,0.038814242824611,8.156333243163107
42,164865928,3561603099,2020-05-25 08:09:56,0.009263763172237,8.165597006335345
43,164865928,3411522564,2020-05-25 08:12:33,0.043831108569792,8.209428114905137
44,165202937,1165288341,2020-05-25 08:12:44,0.003066654204993,8.21249476911013
